station,MAG_MEAN,
800,42788.176,121.31
801,42642.176,121.22
802,42584.344,121.07
803,42583.512,120.88
804,42474.512,120.76
805,42414.68,120.63
806,42797.475,120.52
807,42408.475,120.36
808,42574.95,120.17
809,42764.425,120.08
810,42900.425,119.98
811,42593.9,119.86
812,42681.9,119.76
813,42698.375,119.65
814,42575.85,119.57
815,42679.85,119.47
816,42426.85,119.36
817,42619.325,119.28
818,42328.8,119.14
819,42268.275,118.98
820,42499.275,118.89
821,42623.75,118.74
822,42423.108,118.64
823,42492.108,118.53
824,42708.216,118.45
825,42483.324,118.28
826,42722.324,118.19
827,42511.432,118.09
828,42618.54,117.99
829,42693.54,117.9
830,42569.648,117.65
831,42569.756,117.65
832,42706.864,117.65
